game_id,season,game_date,home_team,away_team,home_pts,away_pts,margin,total_points,home_win,home_games_played,home_wins,home_losses,home_win_pct,home_pts_for_total,home_pts_for_per_game,home_plus_minus_total,home_plus_minus_per_game,home_recent_games,home_recent_wins,home_recent_losses,home_recent_plus_minus_total,home_recent_plus_minus_per_game,away_games_played,away_wins,away_losses,away_win_pct,away_pts_for_total,away_pts_for_per_game,away_plus_minus_total,away_plus_minus_per_game,away_recent_games,away_recent_wins,away_recent_losses,away_recent_plus_minus_total,away_recent_plus_minus_per_game,diff_games_played,diff_wins,diff_losses,diff_win_pct,diff_pts_for_per_game,diff_plus_minus_per_game,diff_recent_wins,diff_recent_losses,diff_recent_plus_minus_per_game
0022500103,2025-26,2025-10-25,MEM,IND,128.0,103.0,25.0,231.0,1.0,2.0,1.0,1.0,0.5,242.0,121.0,-26.0,-13.0,2.0,1.0,1.0,-26.0,-13.0,1.0,0.0,1.0,0.0,135.0,135.0,-6.0,-6.0,1.0,0.0,1.0,-6.0,-6.0,1.0,1.0,0.0,0.5,-14.0,-7.0,1.0,0.0,-7.0
0022500104,2025-26,2025-10-25,DEN,PHX,133.0,111.0,22.0,244.0,1.0,1.0,0.0,1.0,0.0,131.0,131.0,-6.0,-6.0,1.0,0.0,1.0,-6.0,-6.0,2.0,1.0,1.0,0.5,222.0,111.0,-23.0,-11.5,2.0,1.0,1.0,-23.0,-11.5,-1.0,-1.0,0.0,-0.5,20.0,5.5,-1.0,0.0,5.5
0022500105,2025-26,2025-10-26,SAS,BKN,118.0,107.0,11.0,225.0,1.0,2.0,2.0,0.0,1.0,245.0,122.5,37.0,18.5,2.0,2.0,0.0,37.0,18.5,2.0,0.0,2.0,0.0,241.0,120.5,-26.0,-13.0,2.0,0.0,2.0,-26.0,-13.0,0.0,2.0,-2.0,1.0,2.0,31.5,2.0,-2.0,31.5
0022500106,2025-26,2025-10-26,DET,BOS,119.0,113.0,6.0,232.0,1.0,2.0,1.0,1.0,0.5,226.0,113.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,211.0,105.5,-11.0,-5.5,2.0,0.0,2.0,-11.0,-5.5,0.0,1.0,-1.0,0.5,7.5,5.5,1.0,-1.0,5.5
0022500107,2025-26,2025-10-26,CLE,MIL,118.0,113.0,5.0,231.0,1.0,2.0,1.0,1.0,0.5,242.0,121.0,-1.0,-0.5,2.0,1.0,1.0,-1.0,-0.5,2.0,2.0,0.0,1.0,255.0,127.5,19.0,9.5,2.0,2.0,0.0,19.0,9.5,0.0,-1.0,1.0,-0.5,-6.5,-10.0,-1.0,1.0,-10.0
0022500108,2025-26,2025-10-26,MIA,NYK,115.0,107.0,8.0,222.0,1.0,2.0,1.0,1.0,0.5,267.0,133.5,28.0,14.0,2.0,1.0,1.0,28.0,14.0,2.0,2.0,0.0,1.0,224.0,112.0,18.0,9.0,2.0,2.0,0.0,18.0,9.0,0.0,-1.0,1.0,-0.5,21.5,5.0,-1.0,1.0,5.0
0022500109,2025-26,2025-10-26,WAS,CHA,113.0,139.0,-26.0,252.0,0.0,2.0,1.0,1.0,0.5,237.0,118.5,-3.0,-1.5,2.0,1.0,1.0,-3.0,-1.5,2.0,1.0,1.0,0.5,257.0,128.5,15.0,7.5,2.0,1.0,1.0,15.0,7.5,0.0,0.0,0.0,0.0,-10.0,-9.0,0.0,0.0,-9.0
0022500110,2025-26,2025-10-26,MIN,IND,114.0,110.0,4.0,224.0,1.0,2.0,1.0,1.0,0.5,228.0,114.0,-14.0,-7.0,2.0,1.0,1.0,-14.0,-7.0,2.0,0.0,2.0,0.0,238.0,119.0,-31.0,-15.5,2.0,0.0,2.0,-31.0,-15.5,0.0,1.0,-1.0,0.5,-5.0,8.5,1.0,-1.0,8.5
0022500111,2025-26,2025-10-26,DAL,TOR,139.0,129.0,10.0,268.0,1.0,2.0,0.0,2.0,0.0,199.0,99.5,-43.0,-21.5,2.0,0.0,2.0,-43.0,-21.5,2.0,1.0,1.0,0.5,254.0,127.0,14.0,7.0,2.0,1.0,1.0,14.0,7.0,0.0,-1.0,1.0,-0.5,-27.5,-28.5,-1.0,1.0,-28.5
0022500112,2025-26,2025-10-26,LAC,POR,114.0,107.0,7.0,221.0,1.0,2.0,1.0,1.0,0.5,237.0,118.5,6.0,3.0,2.0,1.0,1.0,6.0,3.0,2.0,1.0,1.0,0.5,253.0,126.5,16.0,8.0,2.0,1.0,1.0,16.0,8.0,0.0,0.0,0.0,0.0,-8.0,-5.0,0.0,0.0,-5.0
